ID,SpeciesCode,CommonName,Site,Indiv.pop.map,Latitude,Longitude,ID_ss,Units_clean,Use,Indiv.multiple,Indiv.sum,Country,RMU,Ocean,Region,FromLPI,FromMazaris,FromShaun,IsCountData,Source,Units,Sampling.method,Scaling,Count,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
117,ND,Flatback,"Woongarra nesting population, Queensland, Australia","Woongarra nesting population, Queensland, Australia",-24.79589909,152.4531644,"Flatback Woongarra nesting population, Queensland, Australia",Turtle abundance,yes,0,1,Australia,Southwest Pacific,Pacific,Oceania,TRUE,FALSE,FALSE,TRUE,"Chaloupka, M., P. Dutton, et al. (2004). Status of sea turtle stocks in the Pacific. Papers presented at the Expert Consultation on Interactions between Sea Turtles and Fisheries within an Ecosystem Context. FAO. Rome (Italy): p. 135-164.",Nests (estimated),,0.33,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,9,9,27,18,15,3,24,21,39,6,36,27,15,15,24,18,15,24,12,9,18,9,18,12,15,18,12,24,21,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,ND,Flatback,"Curtis Island, Australia","Curtis Island, Australia",-23.78526553,151.2642043,"Flatback Curtis Island, Australia",Turtle abundance,yes,0,1,Australia,Southwest Pacific,Pacific,Oceania,FALSE,FALSE,FALSE,FALSE,"Limpus C.J., Parmenter C.J. & Chaloupka M. (2013). Monitoring of Coastal Sea Turtles: Gap Analysis 5. Flatback turtles, Natator depressus, in the Port Curtis and Port Alma Region.",Nests (estimated),,0.33,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516,486,486,489,429,414,429,390,408,414,414,414,411,480,531,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,ND,Flatback,"Wild duck island, Australia","Wild duck island, Australia",-21.99591942,149.8599631,"Flatback Wild duck island, Australia",CPUE turtle,yes,0,1,Australia,Southwest Pacific,Pacific,Oceania,TRUE,FALSE,FALSE,FALSE,"Limpus C.J., Parmenter C.J. & Chaloupka M. (2013). Monitoring of Coastal Sea Turtles: Gap Analysis 5. Flatback turtles, Natator depressus, in the Port Curtis and Port Alma Region.",Nests (estimated),,0.33,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,2238,1677,2454,1494,1587,1434,1485,1374,1497,1521,1449,1620,1371,1401,1338,1392,1398,1446,1275,1422,1380,NA,1260,NA,1308,1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,ND,Flatback,"Field Island, Kakadu National Park","Field Island, Kakadu National Park",-12.07229526,132.373329,"Flatback Field Island, Kakadu National Park",Turtle abundance,yes,0,1,Australia,Southwest Pacific,Pacific,Oceania,FALSE,TRUE,FALSE,TRUE,"Groom R.A., Griffiths A.D. & Chaloupka M. (2017). Estimating long-term trends in abundance and survival for nesting flatback turtles in Kakadu National Park, Australia. Endangered Species Research, 32, 203-211.",Nests (estimated),,0.33,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471,543,504,417,291,333,330,549,336,426,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,ND,Flatback,Curtis Island,Curtis Island,-23.78526553,151.2642043,Flatback Curtis Island,Turtle abundance,no,,0,Australia,Southwest Pacific,Pacific,Oceania,FALSE,TRUE,FALSE,TRUE,"Limpus C.J., Parmenter C.J. & Chaloupka M. (2013). Monitoring of Coastal Sea Turtles: Gap Analysis 5. Flatback turtles, Natator depressus, in the Port Curtis and Port Alma Region.",Nests (estimated),,0.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,ND,Flatback,Peak Island,Peak Island,-23.35112112,150.9368071,Flatback Peak Island,Turtle abundance,yes,0,1,Australia,Southwest Pacific,Pacific,Oceania,FALSE,TRUE,FALSE,TRUE,"Limpus C.J., Parmenter C.J. & Chaloupka M. (2013). Monitoring of Coastal Sea Turtles: Gap Analysis 5. Flatback turtles, Natator depressus, in the Port Curtis and Port Alma Region.",Nests (estimated),,0.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,ND,Flatback,Woongarra Coast,Woongarra Coast,-24.79589909,152.4531644,Flatback Woongarra Coast,Turtle abundance,no,,0,Australia,Southwest Pacific,Pacific,Oceania,FALSE,TRUE,FALSE,TRUE,"Limpus C.J., Parmenter C.J. & Chaloupka M. (2013). Monitoring of Coastal Sea Turtles: Gap Analysis 5. Flatback turtles, Natator depressus, in the Port Curtis and Port Alma Region.",Nests(estimated),Females,0.33,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,30,30,93,63,72,0,81,72,132,21,123,81,30,51,81,60,51,81,42,30,63,30,60,42,51,63,42,81,72,42,81,30,60,30,81,51,93,42,111,51,111,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,ND,Flatback,Cable Beach,Cable Beach,-17.94971028,122.2013697,Flatback Cable Beach,Nests,yes,0,1,Australia,Southwest Pacific,Pacific,Oceania,FALSE,TRUE,FALSE,TRUE,McFarlane G. & Mueller A. (2013). Cable Beach Community-based Sea Turtle Monitoring Program: The First Six Years. In: Proceedings of the First Western Australian Marine Turtle Symposium 28–29th August 2012.,Nests,,0.33,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,57,34,43,13,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,CM,Green,Gnaraloo Bay,Gnaraloo Bay,-23.97122233,113.426642,Green Gnaraloo Bay,Nests,yes,0,1,Australia,East Indian and Southeast Asia,,Oceania,FALSE,TRUE,FALSE,TRUE,"Thomson J.A., Hajnoczky N. & Hattingh K. (2016). The Sea Turtle Rookery at Gnaraloo Bay, Western Australia: Using Nocturnal Observations to Validate Diurnal Track Interpretations. Chelonian Conservation and Biology, 15, 187-196.",Nests,,0.33,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,30,8,25,7,6,0,0,NA,NA,NA,NA,NA,NA,NA
129,CM,Green,Khram Islands,Khram Islands,12.68458069,100.8012038,Green Khram Islands,Nests,yes,0,1,Thailand,East Indian and Southeast Asia,,Asia,FALSE,TRUE,FALSE,TRUE,"Charuchinda M., Monanunsap S. & Chantrapornsyl S. (2002). Status of sea turtle conservation in Thailand. In: Proceedings of the Western Pacific Sea Turtle Cooperative Research and Management Workshop, p. 179-184.",Nests,,0.33,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,414,201,583,320,570,257,307,498,576,367,504,386,941,259,910,296,265,420,302,484,221,244,226,265,240,300,145,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
