ID,TID,Author,Report.Year,Title,Publication,Type,Collected.by,Common.Name,Subspecies,Subspecies_shp,Family,DOI or ID,Methods.paragraph,Link,Location.of.population,Indiv.pop.map,Indiv.multiple,Indiv.sum,Latitude,Longitude,Overlap,Use,Units,Units_clean,Scaling,Sampling.method,y1868,y1871,y1873,y1876,y1879,y1881,y1882,y1884,y1885,y1887,y1889,y1891,y1893,y1895,y1897,y1899,y1902,y1904,y1906,y1908,y1909,y1910,y1912,y1913,y1914,y1916,y1917,y1919,y1920,y1922,y1923,y1925,y1926,y1929,y1930,y1932,y1934,y1935,y1936,y1937,y1938,y1939,y1940,y1941,y1942,y1944,y1946,y1947,y1948,y1949,y1950,y1951,y1952,y1953,y1954,y1955,y1956,y1957,y1958,y1959,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024
1,P1,Croxall et al,1979,Antarctic seabird and seal monitoring studies,Polar Record,Journal Article,LPI,Antarctic fur seal,Arctocephalus gazella,Arctocephalus gazella,Otariidae,https://doi.org/10.1017/S0032247400002680,,https://www.cambridge.org/core/journals/polar-record/article/antarctic-seabird-and-seal-monitoring-studies/D46B2AC0D5073F3D29671547998339BB,"Bird Island, South Georgia","Bird Island, South Georgia",2,0,-54.00444,-38.05972,yes,yes,Corrected pup count,Pups,4.1,Combination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24777,30780,35970,NA,37813,35868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,P2,Croxall et al,1979,Antarctic seabird and seal monitoring studies,Polar Record,Journal Article,LPI,Antarctic fur seal,Arctocephalus gazella,Arctocephalus gazella,Otariidae,https://doi.org/10.1017/S0032247400002680,,https://www.cambridge.org/core/journals/polar-record/article/antarctic-seabird-and-seal-monitoring-studies/D46B2AC0D5073F3D29671547998339BB,"Elsehul Area, South Georgia","Elsehul Area, South Georgia",0,1,-54.01778,-37.97611,no,yes,Corrected pup count,Pups,4.1,Combination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29059,NA,NA,52198,66075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,P3,Gerber et al,2001,Catastrophic events and recovery from low densities in populations of otariids: implications for risk of extinction,Mammal Review,Journal Article,LPI,Antarctic fur seal,Arctocephalus gazella,Arctocephalus gazella,Otariidae,https://doi.org/10.1046/j.1365-2907.2001.00081.x,,https://onlinelibrary.wiley.com/doi/10.1046/j.1365-2907.2001.00081.x,Heard Island,Heard Island,0,1,-53,73.5,no,yes,Number of individuals,All Individuals,1,Ground,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,NA,21280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,P4,Forcada et al,2014,Climate change selects for heterozygosity in a declining fur seal population,Nature,Journal Article,UW,Antarctic fur seal,Arctocephalus gazella,Arctocephalus gazella,Otariidae,https://doi.org/10.1038/nature13542,,https://www.nature.com/articles/nature13542,"Bird Island, South Georgia","Bird Island, South Georgia",1,1,-54.00853362,-38.04127789,yes,yes,Breeding Females,Breeding Females,2.84,Ground,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717,NA,852,682,856,830,777,760,829,546,720,772,715,589,802,737,541,693,445,697,749,714,766,649,466,766,735,783,270,565,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,P5,Smith,1988,Destruction of Antarctic terrestrial ecosystems by a rapidly increasing fur seal population,Biological Conservation,Journal Article,LPI,Antarctic fur seal,Arctocephalus gazella,Arctocephalus gazella,Otariidae,https://doi.org/10.1016/0006-3207(88)90052-3,,https://www.sciencedirect.com/science/article/pii/0006320788900523,Signy Island,Signy Island,0,1,-60.716667,-45.6,yes,no,Number of individuals,All Individuals,,"Census, no details on method, probably land given Knightley 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600,NA,NA,NA,NA,NA,3000,NA,NA,11700,13350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,P6,Goldsworthy et al,2009,"Fur seals at Macquarie Island: post-sealing colonisation, trends in abundance and hybridisation of three species",Polar Biology,Journal Article,UW,Antarctic fur seal,Arctocephalus gazella,Arctocephalus gazella,Otariidae,https://doi.org/10.1007/s00300-009-0645-y,,https://link.springer.com/article/10.1007/s00300-009-0645-y,Macquarie Island,Macquarie Island,0,1,-54.62785148,158.8050296,no,yes,Pup counts classified,Pups,4.1,Ground,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,31,37,39,60,70,79,81,99,97,86,93,116,112,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,P7,Guinet et al,1994,Long term population changes of fur seals Arctocephalus gazella and Arctocephalus tropicalis on sub-Antarctic (Crozet) and subtropical (St-Paul and Amsterdam) Islands and their possible relationship to El Nino Southern Oscillation,Antarctic Science,Journal Article,LPI,Antarctic fur seal,Arctocephalus gazella,Arctocephalus gazella,Otariidae,https://doi.org/10.1017/S0954102094000714,,https://www.cambridge.org/core/journals/antarctic-science/article/long-term-population-changes-of-fur-seals-arctocephalus-gazella-and-arctocephalus-tropicalis-on-subantarctic-crozet-and-subtropical-st-paul-and-amsterdam-islands-and-their-possible-relationship-to-el-nino-southern-oscillation/AE1EC95246E1417254F34BD7379A24AE,"Possession Island, Crozet","Possession Island, Crozet",0,1,-46.705,51.732,no,yes,Number of Females,All Females,2.84,Ground,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,20.8,20.3,28.3,40,55.2,61,63.2,94.3,89.2,87.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,P8,Waluda et al.,2009,"Long-term variability in the abundance of Antarctic fur seals Arctocephalus gazella at Signy Island, South Orkneys",Polar Biology,Journal Article,UW,Antarctic fur seal,Arctocephalus gazella,Arctocephalus gazella,Otariidae,https://doi.org/10.1007/s00300-009-0706-2,,https://link.springer.com/article/10.1007/s00300-009-0706-2,Signy Island,Signy Island,0,1,-60.71667,-45.6,yes,yes,Number of individuals,All Individuals,1,Ground,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2041,1658,1786,1913,2934,1913,2934,8163,8418,11735,13265,16582,5995,16582,17219,9566,9439,21429,20408,NA,15434,9566,16199,20536,10459,9949,4974,9566,10332,10459,13265,12628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,P9,Krause et al,2022,The Rapid Population Collapse of a Key Marine Predator in the Northern Antarctic Peninsula Endangers Genetic Diversity and Resilience to Climate Change,Frontiers in Marine Science,Research Article,UW,Antarctic fur seal,Arctocephalus gazella,Arctocephalus gazella,Otariidae,https://doi.org/10.3389/fmars.2021.796488,The US AMLR program conducted a synoptic census of pups between 2008 and 2020. The counts were performed in december when 99% of pups were born. Each season has atleast 3 biologists survey every breeding beach independently using hand-held binoculars. Pups live and dead were counted. Recounts were conducted as necessary to ensure that all beach-specific counts were within 5% of all observers.,https://www.frontiersin.org/articles/10.3389/fmars.2021.796488/full,South Shetland Islands,South Shetland Islands,0,1,-62.59168468,-59.9160588,yes,no,Pups (live and dead),Pups,,Land based surveys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3807,NA,NA,NA,NA,5331,NA,NA,NA,9502,NA,NA,NA,NA,NA,10031,NA,NA,NA,NA,NA,7572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,P10,Krause et al,2022,The Rapid Population Collapse of a Key Marine Predator in the Northern Antarctic Peninsula Endangers Genetic Diversity and Resilience to Climate Change,Frontiers in Marine Science,Research Article,UW,Antarctic fur seal,Arctocephalus gazella,Arctocephalus gazella,Otariidae,https://doi.org/10.3389/fmars.2021.796488,,https://www.frontiersin.org/articles/10.3389/fmars.2021.796488/full,Cape Shirreff,Cape Shirreff,0,1,-62.44516346,-60.84682539,yes,yes,Pups (live and dead),Pups,4.1,Ground,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663,NA,NA,NA,2997,NA,3651,3433,3993,4927,5674,4927,5487,5829,5923,6421,5798,6390,5985,5736,6078,4522,4585,3993,3682,3309,2780,2282,2095,1628,1504,1192,1006,819,NA,NA,NA,
